scope,query_id,profile,check_name,status,observed,expected,details
synthetic,,,known_vector_minmax,PASS,"[0.0, 0.5, 1.0, None]","[0.0, 0.5, 1.0, None]",
synthetic,,P30_team_baseline,known_penalties_GENE_MULTIOMICS,PASS,"[0.0, 0.15, 0.3, 0.0]","[0.0, 0.15, 0.3, 0.0]",
synthetic,,P30_team_baseline,final_score_subtraction_GENE_MULTIOMICS,PASS,"final = max(0, P00 final - reported penalty)","final = max(0, P00 final - reported penalty)",
synthetic,,P30_team_baseline,known_penalties_PROTEIN_ONLY,PASS,"[0.0, 0.15, 0.3, 0.0]","[0.0, 0.15, 0.3, 0.0]",
synthetic,,P30_team_baseline,final_score_subtraction_PROTEIN_ONLY,PASS,"final = max(0, P00 final - reported penalty)","final = max(0, P00 final - reported penalty)",
synthetic,,P30_team_baseline,known_penalties_COMBINED,PASS,"[0.0, 0.15, 0.3, 0.0]","[0.0, 0.15, 0.3, 0.0]",
synthetic,,P30_team_baseline,final_score_subtraction_COMBINED,PASS,"final = max(0, P00 final - reported penalty)","final = max(0, P00 final - reported penalty)",
synthetic,,,all_missing_profiles_identical,PASS,identical,identical,
synthetic,,P45_stress,lower_clipping_reported_penalty_exceeds_realised_drop,PASS,"final=0.0, penalty=0.45, realised_drop=0.0881",final=0 and reported penalty > realised score drop,
synthetic,,P30_team_baseline,same_base_lower_exclusion_not_ranked_below,PASS,"[1.0, 0.7]",first score >= second score,
synthetic,,P30_team_baseline,legacy_constant_positive_behaviour,PASS,"[0.3, 0.3]","[0.3, 0.3]","Legacy Min-Max discontinuity is exposed, not corrected by this runner."
synthetic,,P30_team_baseline,legacy_constant_zero_behaviour,PASS,"[0.0, 0.0]","[0.0, 0.0]","Legacy Min-Max discontinuity is exposed, not corrected by this runner."
synthetic,,P30_team_baseline,legacy_constant_negative_behaviour,PASS,"[0.0, 0.0]","[0.0, 0.0]","Legacy Min-Max discontinuity is exposed, not corrected by this runner."
synthetic,,,top10_cutoff_score_tie_included,PASS,"top_n=11, score_tie_rank=10-11, final_tie=2, full_comparator_tie=1","11 returned; tied cutoff rows have ranks 10-11 (mid 10.5), final-score tie size 2, full-comparator tie size 1",
synthetic,,P30_team_baseline,repeat_run_determinism,PASS,identical,identical,
synthetic,,P30_team_baseline,p30_default_wrapper_parity,PASS,all compared fields match,exact match,
synthetic,,,negative_cap_rejected,PASS,True,True,
synthetic,,,production_cap_restored,PASS,0.3,0.3,
query,Q01_FGFR2_MET_GASTRIC,,frozen_candidate_count,PASS,43,43,
query,Q01_FGFR2_MET_GASTRIC,,frozen_exclusion_observed_count,PASS,43,43,
query,Q01_FGFR2_MET_GASTRIC,,exclusion_expression_nonconstant,PASS,4.416692941556634,> 0,
query,Q01_FGFR2_MET_GASTRIC,P30_team_baseline,p30_production_parity,PASS,all compared fields match,exact match,
query,Q01_FGFR2_MET_GASTRIC,P30_team_baseline,repeat_run_determinism,PASS,identical,identical,
query,Q01_FGFR2_MET_GASTRIC,,candidate_sets_same_across_profiles,PASS,True,True,
query,Q01_FGFR2_MET_GASTRIC,,non_penalty_components_fixed,PASS,all non-penalty components match,exact match,
query,Q01_FGFR2_MET_GASTRIC,,penalty_non_decreasing_by_cap,PASS,all candidates monotonic,non-decreasing for every candidate,
query,Q01_FGFR2_MET_GASTRIC,,final_score_non_increasing_by_cap,PASS,all candidates monotonic,non-increasing for every candidate,
query,Q01_FGFR2_MET_GASTRIC,,penalty_profile_ratios,PASS,P30=2*P15 and P45=3*P15 within rounding tolerance,P30=2*P15 and P45=3*P15 within four-decimal rounding,
query_profile,Q01_FGFR2_MET_GASTRIC,P00_no_penalty,penalty_within_profile_cap,PASS,0.0,0 <= penalty <= 0.0,
